R_Wrist_RotX,R_Wrist_RotY,R_Wrist_RotZ,R_Wrist_RotW,R_IndexMetacarpal_PosX,R_IndexMetacarpal_PosY,R_IndexMetacarpal_PosZ,R_IndexProximal_PosX,R_IndexProximal_PosY,R_IndexProximal_PosZ,R_IndexProximal_RotX,R_IndexProximal_RotY,R_IndexProximal_RotZ,R_IndexProximal_RotW,R_IndexIntermediate_RotX,R_IndexIntermediate_RotY,R_IndexIntermediate_RotZ,R_IndexIntermediate_RotW,R_IndexDistal_RotX,R_IndexDistal_RotY,R_IndexDistal_RotZ,R_IndexDistal_RotW,R_LittleProximal_RotX,R_LittleProximal_RotY,R_LittleProximal_RotZ,R_LittleProximal_RotW,R_LittleIntermediate_RotX,R_LittleIntermediate_RotY,R_LittleIntermediate_RotZ,R_LittleIntermediate_RotW,R_LittleDistal_RotX,R_LittleDistal_RotY,R_LittleDistal_RotZ,R_LittleDistal_RotW,R_MiddleMetacarpal_PosX,R_MiddleMetacarpal_PosY,R_MiddleMetacarpal_PosZ,R_MiddleProximal_PosX,R_MiddleProximal_PosY,R_MiddleProximal_PosZ,R_MiddleProximal_RotX,R_MiddleProximal_RotY,R_MiddleProximal_RotZ,R_MiddleProximal_RotW,R_MiddleIntermediate_RotX,R_MiddleIntermediate_RotY,R_MiddleIntermediate_RotZ,R_MiddleIntermediate_RotW,R_MiddleDistal_RotX,R_MiddleDistal_RotY,R_MiddleDistal_RotZ,R_MiddleDistal_RotW,R_Palm_PosX,R_Palm_PosY,R_Palm_PosZ,R_RingProximal_RotX,R_RingProximal_RotY,R_RingProximal_RotZ,R_RingProximal_RotW,R_RingIntermediate_RotX,R_RingIntermediate_RotY,R_RingIntermediate_RotZ,R_RingIntermediate_RotW,R_RingDistal_RotX,R_RingDistal_RotY,R_RingDistal_RotZ,R_RingDistal_RotW,R_ThumbMetacarpal_PosX,R_ThumbMetacarpal_PosY,R_ThumbMetacarpal_PosZ,R_ThumbMetacarpal_RotX,R_ThumbMetacarpal_RotY,R_ThumbMetacarpal_RotZ,R_ThumbMetacarpal_RotW,R_ThumbProximal_RotX,R_ThumbProximal_RotY,R_ThumbProximal_RotZ,R_ThumbProximal_RotW,Letter
0.000000,0.000000,0.000000,1.000000,-0.019445,-0.011052,0.038022,-0.024167,-0.007508,0.098509,0.436406,0.036979,0.029690,0.898499,0.950693,0.044076,-0.031648,0.305351,0.984220,0.045396,-0.038691,-0.166591,0.116740,0.102548,-0.131897,0.979009,0.688181,0.017722,-0.248203,0.681534,0.939376,-0.151693,-0.242691,0.188851,-0.002811,-0.008497,0.035803,-0.001771,-0.002610,0.098151,0.413137,0.036300,-0.021988,0.909679,0.921564,0.012734,-0.054146,0.384221,0.985884,0.055758,-0.105281,-0.117644,-0.002291,-0.005553,0.066977,0.282128,0.067919,-0.069403,0.954450,0.859187,-0.007370,-0.142678,0.491311,0.985142,-0.068542,-0.156339,-0.018882,-0.029222,-0.019102,0.036641,-0.148899,-0.215403,0.584443,0.768022,0.002259,-0.060970,0.543147,0.837418,A
0.000000,0.000000,0.000000,1.000000,-0.019190,-0.011360,0.038165,-0.024167,-0.007508,0.098509,0.436900,0.036845,0.029745,0.898263,0.950615,0.044065,-0.031480,0.305613,0.986232,0.046195,-0.037935,-0.154190,0.116057,0.102777,-0.131796,0.979080,0.687980,0.017808,-0.248300,0.681700,0.939146,-0.151529,-0.242919,0.189828,-0.002556,-0.008651,0.035946,-0.001771,-0.002610,0.098151,0.413076,0.036462,-0.022050,0.909699,0.921759,0.012778,-0.054309,0.383730,0.985934,0.055753,-0.105361,-0.117153,-0.002164,-0.005630,0.067048,0.282985,0.068336,-0.069572,0.954154,0.860025,-0.007257,-0.143097,0.489722,0.985050,-0.068532,-0.156786,-0.019964,-0.028713,-0.019717,0.036926,-0.138845,-0.212809,0.597449,0.760585,-0.011893,-0.069768,0.553286,0.829980,A
0.000000,0.000000,0.000000,1.000000,-0.019099,-0.011465,0.038213,-0.024167,-0.007508,0.098509,0.439054,0.036942,0.029699,0.897209,0.950052,0.044301,-0.031404,0.307333,0.987476,0.046846,-0.037681,-0.145864,0.113766,0.103405,-0.131452,0.979329,0.685999,0.018411,-0.248441,0.683626,0.937985,-0.150609,-0.243686,0.195239,-0.002465,-0.008703,0.035994,-0.001771,-0.002610,0.098151,0.413097,0.036806,-0.022189,0.909673,0.921817,0.012926,-0.054648,0.383535,0.986013,0.055738,-0.105661,-0.116221,-0.002118,-0.005656,0.067072,0.283518,0.068758,-0.069717,0.953955,0.860605,-0.007117,-0.143500,0.488587,0.984968,-0.068507,-0.157241,-0.020499,-0.028531,-0.019927,0.037023,-0.133730,-0.213938,0.602470,0.757217,-0.014267,-0.074202,0.557926,0.826444,A
0.000000,0.000000,0.000000,1.000000,-0.019029,-0.011544,0.038250,-0.024167,-0.007508,0.098509,0.442171,0.036723,0.029785,0.895684,0.949786,0.044443,-0.031006,0.308172,0.987957,0.047304,-0.037280,-0.142525,0.111506,0.104310,-0.131117,0.979538,0.684152,0.019178,-0.248767,0.685335,0.936796,-0.149650,-0.244693,0.200361,-0.002395,-0.008743,0.036031,-0.001771,-0.002610,0.098151,0.413740,0.037199,-0.022377,0.909360,0.922023,0.013101,-0.055050,0.382978,0.986015,0.055734,-0.106010,-0.115891,-0.002083,-0.005676,0.067091,0.284907,0.069184,-0.069933,0.953494,0.861511,-0.006957,-0.143962,0.486853,0.984860,-0.068486,-0.157735,-0.021920,-0.028390,-0.020085,0.037095,-0.129617,-0.215050,0.606312,0.754546,-0.011108,-0.074627,0.562282,0.823497,A
0.000000,0.000000,0.000000,1.000000,-0.018900,-0.011685,0.038314,-0.024167,-0.007508,0.098509,0.443353,0.035883,0.030143,0.895122,0.949924,0.044179,-0.030114,0.307873,0.988076,0.047513,-0.036307,-0.141880,0.111704,0.104879,-0.131161,0.979449,0.689821,0.017812,-0.249551,0.679378,0.938279,-0.151029,-0.244822,0.192055,-0.002266,-0.008813,0.036095,-0.001771,-0.002610,0.098151,0.416035,0.037286,-0.022519,0.908305,0.923037,0.013093,-0.055212,0.380504,0.985754,0.055791,-0.105939,-0.118128,-0.002019,-0.005712,0.067123,0.290379,0.069261,-0.070404,0.951802,0.864524,-0.007033,-0.144401,0.481350,0.984659,-0.068519,-0.158022,-0.027958,-0.028133,-0.020367,0.037224,-0.125096,-0.213332,0.612225,0.751014,-0.008436,-0.072208,0.568208,0.819668,A
0.000000,0.000000,0.000000,1.000000,-0.018891,-0.011695,0.038319,-0.024167,-0.007508,0.098509,0.442690,0.035903,0.030135,0.895448,0.947861,0.044357,-0.029876,0.314165,0.989080,0.047887,-0.036273,-0.134579,0.111470,0.105756,-0.131143,0.979383,0.687646,0.019088,-0.249944,0.681400,0.937489,-0.150188,-0.245801,0.195295,-0.002257,-0.008818,0.036099,-0.001771,-0.002610,0.098151,0.412181,0.038189,-0.022702,0.910018,0.921152,0.013604,-0.055959,0.384920,0.986255,0.055631,-0.107146,-0.112808,-0.002014,-0.005714,0.067125,0.287084,0.070043,-0.070323,0.952749,0.862670,-0.006542,-0.144855,0.484536,0.984654,-0.068453,-0.158709,-0.024127,-0.028115,-0.020387,0.037233,-0.123538,-0.214751,0.613035,0.750206,-0.006027,-0.072710,0.569550,0.818712,A
0.000000,0.000000,0.000000,1.000000,-0.018846,-0.011743,0.038340,-0.024167,-0.007508,0.098509,0.443414,0.035497,0.030309,0.895101,0.949067,0.044122,-0.029597,0.310563,0.988483,0.047719,-0.035876,-0.139057,0.112590,0.106269,-0.131334,0.979174,0.699657,0.015779,-0.251190,0.668682,0.941422,-0.154146,-0.244837,0.173262,-0.002213,-0.008842,0.036121,-0.001771,-0.002610,0.098151,0.421991,0.037673,-0.022959,0.905526,0.929807,0.012533,-0.055949,0.363554,0.983428,0.055870,-0.105026,-0.136811,-0.001992,-0.005726,0.067136,0.301100,0.069531,-0.071373,0.948373,0.877753,-0.009144,-0.145408,0.456424,0.983381,-0.069896,-0.157397,-0.057479,-0.028026,-0.020483,0.037277,-0.122104,-0.214017,0.615002,0.749040,-0.002492,-0.069833,0.571913,0.817333,A
0.000000,0.000000,0.000000,1.000000,-0.018839,-0.011750,0.038344,-0.024167,-0.007508,0.098509,0.444019,0.036197,0.030008,0.894783,0.949274,0.044411,-0.030313,0.309819,0.988168,0.047580,-0.036696,-0.141117,0.115185,0.106733,-0.131762,0.978764,0.719364,0.010035,-0.252929,0.646871,0.950426,-0.165919,-0.238542,0.110719,-0.002206,-0.008846,0.036124,-0.001771,-0.002610,0.098151,0.435387,0.038008,-0.023751,0.899127,0.938591,0.011867,-0.056866,0.340106,0.978199,0.056002,-0.104051,-0.170775,-0.001988,-0.005728,0.067137,0.308277,0.069836,-0.072068,0.945989,0.895649,-0.013290,-0.146120,0.419864,0.977995,-0.074093,-0.153564,-0.120226,-0.028012,-0.020497,0.037283,-0.121700,-0.214128,0.615363,0.748777,0.003493,-0.065877,0.573190,0.816763,A
0.000000,0.000000,0.000000,1.000000,-0.018780,-0.011813,0.038372,-0.024167,-0.007508,0.098509,0.446158,0.036893,0.029703,0.893700,0.952490,0.044467,-0.031393,0.299667,0.984076,0.046111,-0.038262,-0.167347,0.118861,0.107156,-0.132368,0.978197,0.736508,0.005120,-0.254434,0.626732,0.954656,-0.174881,-0.233382,0.059857,-0.002146,-0.008877,0.036153,-0.001771,-0.002610,0.098150,0.457365,0.037781,-0.024754,0.888132,0.952098,0.010353,-0.057595,0.300142,0.966022,0.056201,-0.101452,-0.230979,-0.001959,-0.005744,0.067152,0.320063,0.069634,-0.073039,0.942007,0.905866,-0.015156,-0.146667,0.397072,0.972255,-0.076334,-0.151224,-0.161324,-0.027893,-0.020623,0.037340,-0.119501,-0.213512,0.618057,0.747086,0.016818,-0.056385,0.577643,0.814167,A
0.000000,0.000000,0.000000,1.000000,-0.018712,-0.011884,0.038404,-0.024167,-0.007508,0.098509,0.451075,0.037386,0.029475,0.891216,0.956392,0.044516,-0.032266,0.286865,0.979496,0.044897,-0.039381,-0.192410,0.120670,0.107805,-0.132681,0.977861,0.744688,0.002995,-0.255433,0.616591,0.955773,-0.179600,-0.230631,0.032426,-0.002078,-0.008913,0.036185,-0.001771,-0.002610,0.098150,0.468336,0.037600,-0.025237,0.882389,0.958521,0.009501,-0.057889,0.278920,0.957321,0.056259,-0.099970,-0.265289,-0.001925,-0.005761,0.067168,0.326702,0.069370,-0.073549,0.939704,0.910168,-0.015881,-0.146845,0.387012,0.968791,-0.077377,-0.149929,-0.181601,-0.027757,-0.020764,0.037404,-0.116833,-0.213048,0.621133,0.745087,0.028607,-0.048188,0.582151,0.811147,A
